seed,baseline,arrivals,admissions,rejected_admissions,admission_rate,departures,active_services,service_slots,sla_violations,sla_violation_rate,availability,avg_end_to_end_delay,avg_cpu_utilization,avg_bandwidth_utilization,avg_cpu_capacity_degradation,avg_bandwidth_capacity_degradation,prediction_runtime_seconds,runtime_seconds,avg_step_runtime_seconds,num_records,migrations,avg_risk,avg_estimated_cost,avg_realized_cost,avg_disruption,avg_post_risk,avg_risk_reduction,accepted_reconfigurations,node_migrations,link_reroutes,avg_node_migration_cost,avg_link_reroute_cost,reconfig_sla_violations
0,static,44,27,17,0.6136363636363636,27,0,445,254,0.5707865168539326,1.0,87.0524101186985,0.09109877450550392,0.06868715392316097,0.7341481452950496,0.6282156948625323,0.0,0.411733893211931,0.00411733893211931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,reactive_full,44,28,16,0.6363636363636364,28,0,461,245,0.5314533622559653,0.9848156182212582,81.89355367797597,0.09477201589461988,0.06855613485991116,0.7341481452950496,0.6282156948625323,0.0,1.073343625990674,0.01073343625990674,183.0,183.0,0.0,1.0,0.9996877439500391,1.0,0.0,0.0,183.0,1441.0,1360.0,0.5999999999999982,0.39968774395003887,183.0
0,proactive_heuristic,44,28,16,0.6363636363636364,28,0,461,272,0.5900216919739696,0.9045553145336226,84.14356444493781,0.09477201589461988,0.0682591403714665,0.7341481452950496,0.6282156948625323,0.33529165550135076,1.4203994127456099,0.014203994127456099,173.0,171.0,0.7180723611643798,1.0,0.9884393063583815,0.9884393063583815,0.6007516730644772,0.11732068809990229,171.0,1198.0,1071.0,0.5930635838150274,0.39537572254335196,120.0
1,static,44,28,16,0.6363636363636364,28,0,508,372,0.7322834645669292,0.9901574803149606,87.97122806254411,0.0972627395831501,0.07661348876745178,0.7333346200752975,0.62864093299388,0.0,0.3548011814709753,0.003548011814709753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,reactive_full,44,28,16,0.6363636363636364,28,0,508,345,0.6791338582677166,1.0,85.85783239837825,0.0972627395831501,0.07405921166800188,0.7333346200752975,0.62864093299388,0.0,1.4443572498857975,0.014443572498857976,285.0,285.0,0.0,1.0,0.999391812865497,1.0,0.0,0.0,285.0,2147.0,2015.0,0.5999999999999968,0.3993918128654989,285.0
1,proactive_heuristic,44,29,15,0.6590909090909091,29,0,530,384,0.7245283018867924,0.8584905660377359,87.50523082214598,0.10429703510758291,0.07828856181308998,0.7333346200752975,0.62864093299388,0.3334223460406065,1.5466480222530663,0.015466480222530663,226.0,221.0,0.7181587745606783,1.0,0.9778761061946902,0.9778761061946902,0.5899891200212571,0.12816965453942084,221.0,1614.0,1462.0,0.5867256637168118,0.39115044247787695,167.0
2,static,44,28,16,0.6363636363636364,28,0,424,263,0.6202830188679245,1.0,86.86708134528828,0.07309898953851193,0.06263190537581516,0.7327643136134562,0.6284430257055645,0.0,0.35523931100033224,0.0035523931100033225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,reactive_full,44,28,16,0.6363636363636364,28,0,424,204,0.4811320754716981,0.9599056603773585,81.3432434701966,0.07309898953851193,0.05993330747894542,0.7327643136134562,0.6284430257055645,0.0,1.0821985085494816,0.010821985085494817,186.0,186.0,0.0,1.0,0.9994777265745008,1.0,0.0,0.0,186.0,1532.0,1450.0,0.5999999999999981,0.39947772657450065,186.0
2,proactive_heuristic,44,28,16,0.6363636363636364,28,0,424,255,0.6014150943396226,0.9551886792452831,87.92819919613126,0.07309898953851193,0.06390140339132927,0.7327643136134562,0.6284430257055645,0.33107958175241947,1.3028575738426298,0.013028575738426298,190.0,188.0,0.7202909821519629,1.0,0.9894736842105263,0.9894736842105263,0.606351035146872,0.11393994700509048,188.0,1353.0,1223.0,0.5936842105263139,0.3957894736842105,133.0
3,static,44,28,16,0.6363636363636364,28,0,490,248,0.5061224489795918,1.0,83.08028853189424,0.09796424180287662,0.07166547419420712,0.7334594256205763,0.6283752513928964,0.0,0.45764652732759714,0.004576465273275971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reactive_full,44,28,16,0.6363636363636364,28,0,490,163,0.3326530612244898,1.0,73.48648299122526,0.09796424180287662,0.06441812813720943,0.7334594256205763,0.6283752513928964,0.0,0.8703075959347188,0.008703075959347188,152.0,152.0,0.0,1.0,1.0,1.0,0.0,0.0,152.0,1252.0,1176.0,0.599999999999999,0.399999999999999,152.0
3,proactive_heuristic,44,28,16,0.6363636363636364,28,0,490,271,0.5530612244897959,0.8816326530612245,81.5362578417393,0.09796424180287662,0.06983174667472676,0.7334594256205763,0.6283752513928964,0.32836060388945043,1.4686356557067484,0.014686356557067484,211.0,207.0,0.7226193805820362,1.0,0.981042654028436,0.981042654028436,0.5951980462757536,0.12742133430628255,207.0,1502.0,1367.0,0.5886255924170594,0.3924170616113749,150.0
4,static,44,28,16,0.6363636363636364,28,0,474,255,0.5379746835443038,1.0,78.84493517356128,0.09005986971597624,0.06789905522694434,0.7331691325714789,0.6282531488883186,0.0,0.36453598784282804,0.0036453598784282806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,reactive_full,44,28,16,0.6363636363636364,28,0,474,194,0.4092827004219409,1.0,78.14437521434976,0.09005986971597624,0.06882721374899405,0.7331691325714789,0.6282531488883186,0.0,1.0655738613568246,0.010655738613568246,174.0,174.0,0.0,1.0,0.9991288086115672,1.0,0.0,0.0,174.0,1467.0,1399.0,0.5999999999999984,0.3991288086115668,174.0
4,proactive_heuristic,44,28,16,0.6363636363636364,28,0,474,263,0.5548523206751055,0.8607594936708861,84.79368773027883,0.09005986971597624,0.07539474024151357,0.7331691325714789,0.6282531488883186,0.3306065103970468,1.3633230400737375,0.013633230400737375,217.0,214.0,0.7176371449837475,1.0,0.9861751152073732,0.9861751152073732,0.5898557291058306,0.12778141587791703,214.0,1610.0,1473.0,0.5917050691244217,0.39447004608295,166.0
5,static,44,28,16,0.6363636363636364,28,0,503,335,0.6660039761431411,1.0,86.4291746718536,0.09345797632983968,0.07566818250335623,0.7338501585851263,0.6286157539220847,0.0,0.44254836929030716,0.004425483692903072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
